NDC_Code,Labeler_Name,Labeler_Status,FDA_Name,COD_Status,FDA_Application_Number,Drug_Category,Drug_Type,Line_Extension,FDA_Approval_Date,Market_Date,Unit_Type,Unit_Per_Package_Size,Therapeutic_Equivalent_Code,5i_Indicator,Purchased_Product_Date,Coverage_Effective_Date,Drug_Termination_Date,Drug_Reactivation_Date,Date_Reported_to_CMS,,,,,
113-25-79,L. PERRIGO COMPANY,Active,APAP 500MG FSTRLS CPLT 400'S,9,PART343,New,2,No Line Extension,2015-10-08,2015-10-08,Tablet,1.00,Not clearly substitutable,NO,Not Purchased,2015-10-08,Active,N/A,2026-05-28,,,,,
113-2009-34,L. PERRIGO COMPANY,Active,TUSSIN SEV CF MAX BRY LIQ 8 OZ,10,PART341,New,2,No Line Extension,1990-09-30,1990-09-30,Milliliter,237.00,Not clearly substitutable,NO,2026-01-08,2026-01-08,Active,N/A,2026-05-28,,,,,
113-4124-64,L. PERRIGO COMPANY,Active,SPL SCAR INTENSE PM CREAM,10,PART347,New,2,No Line Extension,1991-01-01,1991-01-01,Gram,28.00,Not clearly substitutable,NO,2026-03-05,2026-03-05,Active,N/A,2026-05-28,,,,,
113-8959-34,L. PERRIGO COMPANY,Active,APAP 160MG CHILD DF CHRY SUSP 8 OZ,9,PART343,New,2,No Line Extension,2012-03-22,2012-03-22,Milliliter,237.00,Not clearly substitutable,NO,Not Purchased,2012-03-22,Active,N/A,2026-05-28,,,,,
143-9433-1,HIKMA PHARMACEUTICALS USA INC.,Active,Acetylcysteine Inj 6g/30 mL vial (IP),1,0217182,New,1,No Line Extension,2023-04-19,2023-08-22,Milliliter,30.00,Not clearly substitutable,YES,2026-04-10,2026-04-10,Active,N/A,2026-05-27,,,,,
143-9433-4,HIKMA PHARMACEUTICALS USA INC.,Active,Acetylcysteine Inj 6g/30 mL vial x 4,1,0217182,New,1,No Line Extension,2023-04-19,2023-08-22,Milliliter,120.00,Not clearly substitutable,YES,2026-04-10,2026-04-10,Active,N/A,2026-05-27,,,,,
143-9443-1,HIKMA PHARMACEUTICALS USA INC.,Active,Colistimethate Inj 150mg/vial x 1,1,0205356,New,1,No Line Extension,2015-05-29,2016-08-17,Milliliter,1.00,Not clearly substitutable,YES,2026-04-22,2026-04-22,Active,N/A,2026-05-27,,,,,
143-9443-12,HIKMA PHARMACEUTICALS USA INC.,Active,Colistimethate Inj 150mg/vial x 12,1,0205356,New,1,No Line Extension,2015-05-29,2016-08-17,Milliliter,12.00,Not clearly substitutable,YES,2026-04-22,2026-04-22,Active,N/A,2026-05-27,,,,,
173-922-38,GLAXOSMITHKLINE,Active,BLUJEPA TABLET 8CT,3,0218230,Standard,1,No Line Extension,2025-03-25,2025-10-06,Tablet,1.00,Not clearly substitutable,NO,Not Purchased,2025-10-06,Active,N/A,2026-05-26,,,,,
264-5711-1,B. BRAUN MEDICAL INC.,Active,ROCURONIUM BROMIDE,3,0219108,Investigational,1,No Line Extension,2025-10-24,2026-05-21,Milliliter,5.00,Not clearly substitutable,YES,Not Purchased,2026-05-21,Active,N/A,2026-05-29,,,,,
264-5711-10,B. BRAUN MEDICAL INC.,Active,ROCURONIUM BROMIDE,3,0219108,Investigational,1,No Line Extension,2025-10-24,2026-05-21,Milliliter,5.00,Not clearly substitutable,YES,Not Purchased,2026-05-21,Active,N/A,2026-05-29,,,,,
