Labeler_Name,total
"AUROBINDO PHARMA USA, INC.",16
SANDOZ,13
"NOVADOZ PHARMACEUTICALS, LLC",11
"SOMERSET THERAPEUTICS, LLC.",11
"MEITHEAL PHARMACEUTICALS, INC.",10
"ZYDUS PHARMACEUTICALS (USA) INC.",8
"ASCEND LABORATORIES, L.L.C.",8
"GLENMARK PHARMACEUTICALS, INC., USA",6
"LUPIN PHARMACEUTICALS INC.",5
"ANI PHARMACEUTICALS, INC.",5
"AZURITY PHARMACEUTICALS INC.",4
"UNICHEM PHARMACEUTICALS (USA), INC.",4
"L. PERRIGO COMPANY",4
"Methapharm, Inc",4
"HIKMA PHARMACEUTICALS USA INC.",4
Ayurax,3
"Pangea Pharmaceuticals, LLC",3
"AMNEAL PHARMACEUTICALS LLC",3
"EMERGENT DEVICES INC.",3
"FOSUN PHARMA USA",2
"Upsher-Smith Laboratories, LLC.",2
"AJANTA PHARMA LIMITED",2
AVPAK,2
"WILSHIRE PHARMACEUTICALS, INC.",2
"Viatris Specialty LLC",2
"Biocon Biologics Inc",2
"B. BRAUN MEDICAL INC.",2
"IPCA LABORATORIES LTD",2
"Solubiomix, LLC",2
"FRESENIUS KABI USA LLC",1
"AMERICAN HEALTH PACKAGING",1
"Elite Laboratories, Inc.",1
"TRUPHARMA, LLC",1
"Sun Pharmaceutical Industries, Inc.",1
"SOLCO HEALTHCARE USA, LLC",1
"LAURUS LABS PRIVATE LIMITED",1
"Modavar Pharmaceuticals LLC",1
"HERITAGE PHARMACEUTICALS, INC.",1
"CELLTRION USA, INC.",1
"ENCUBE ETHICALS PVT. LTD.",1
"Trifluent Pharma LLC",1
"CHIESI USA, INC.",1
"Novugen Pharma (USA) LLC",1
"BAXTER HEALTHCARE CORPORATION",1
GLAXOSMITHKLINE,1
"Coral Way Pharma",1
"USWM CT, LLC",1
