NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Unit Per Package Size,Therapeutic Equivalent Code,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date,Date Reported to CMS
00113,0025,79,L. PERRIGO COMPANY,Active,APAP 500MG FSTRLS CPLT 400'S,09,PART343,N,2,N,10/8/15,10/8/15,TAB,1,NR,N,,10/8/15,,,5/28/26
00113,2009,34,L. PERRIGO COMPANY,Active,TUSSIN SEV CF MAX BRY LIQ 8 OZ,10,PART341,N,2,N,9/30/90,9/30/90,ML,237,NR,N,1/8/26,1/8/26,,,5/28/26
00113,4124,64,L. PERRIGO COMPANY,Active,SPL SCAR INTENSE PM CREAM,10,PART347,N,2,N,1/1/91,1/1/91,GM,28,NR,N,3/5/26,3/5/26,,,5/28/26
00113,8959,34,L. PERRIGO COMPANY,Active,APAP 160MG CHILD DF CHRY SUSP 8 OZ,09,PART343,N,2,N,3/22/12,3/22/12,ML,237,NR,N,,3/22/12,,,5/28/26
00143,9433,01,HIKMA PHARMACEUTICALS USA INC.,Active,Acetylcysteine Inj 6g/30 mL vial (IP),01,0217182,N,1,N,4/19/23,8/22/23,ML,30,AP,Y,4/10/26,4/10/26,,,5/27/26
00143,9433,04,HIKMA PHARMACEUTICALS USA INC.,Active,Acetylcysteine Inj 6g/30 mL vial x 4,01,0217182,N,1,N,4/19/23,8/22/23,ML,120,AP,Y,4/10/26,4/10/26,,,5/27/26
00143,9443,01,HIKMA PHARMACEUTICALS USA INC.,Active,Colistimethate Inj 150mg/vial x 1,01,0205356,N,1,N,5/29/15,8/17/16,ML,1,AP,Y,4/22/26,4/22/26,,,5/27/26
00143,9443,12,HIKMA PHARMACEUTICALS USA INC.,Active,Colistimethate Inj 150mg/vial x 12,01,0205356,N,1,N,5/29/15,8/17/16,ML,12,AP,Y,4/22/26,4/22/26,,,5/27/26
00173,0922,38,GLAXOSMITHKLINE,Active,BLUJEPA TABLET 8CT,03,0218230,S,1,N,3/25/25,10/6/25,TAB,1,NR,N,,10/6/25,,,5/26/26
00264,5711,01,B. BRAUN MEDICAL INC.,Active,ROCURONIUM BROMIDE,03,0219108,I,1,N,10/24/25,5/21/26,ML,5,NR,Y,,5/21/26,,,5/29/26
00264,5711,10,B. BRAUN MEDICAL INC.,Active,ROCURONIUM BROMIDE,03,0219108,I,1,N,10/24/25,5/21/26,ML,5,NR,Y,,5/21/26,,,5/29/26
00338,9543,07,BAXTER HEALTHCARE CORPORATION,Active,0.9% NACL 1000ML VIAFLO USA,03,0016677,N,1,N,9/30/90,9/30/90,ML,1000,AP,Y,11/5/15,11/5/15,,,5/26/26
00781,2492,60,SANDOZ,Active,NINTEDANIB 100MG 60SGC BO US,01,0216915,N,1,N,4/2/26,4/6/26,CAP,1,AB,N,,4/6/26,,,5/26/26
00781,2495,60,SANDOZ,Active,NINTEDANIB 150MG 60SGC BO US,01,0216915,N,1,N,4/2/26,4/6/26,CAP,1,AB,N,,4/6/26,,,5/26/26
00781,5985,31,SANDOZ,Active,DAPAGLIFLOZIN 5MG 30FCT BO US,01,0211312,N,1,N,4/6/26,4/7/26,TAB,1,AB,N,,4/7/26,,,5/26/26
00781,5990,31,SANDOZ,Active,DAPAGLIFLOZIN 10MG 30FCT BO US,01,0211312,N,1,N,4/6/26,4/7/26,TAB,1,AB,N,,4/7/26,,,5/26/26
00781,8201,06,SANDOZ,Active,CLADRIBINE 10MG 1TAB US,01,0215547,N,1,N,3/27/26,4/28/26,TAB,1,AB,N,,4/28/26,,,5/26/26
00781,8201,37,SANDOZ,Active,CLADRIBINE 10MG 9TAB US,01,0215547,N,1,N,3/27/26,4/28/26,TAB,1,AB,N,,4/28/26,,,5/26/26
00781,8201,46,SANDOZ,Active,CLADRIBINE 10MG 2TAB US,01,0215547,N,1,N,3/27/26,4/28/26,TAB,1,AB,N,,4/28/26,,,5/26/26
00781,8201,51,SANDOZ,Active,CLADRIBINE 10MG 5TAB US,01,0215547,N,1,N,3/27/26,4/28/26,TAB,1,AB,N,,4/28/26,,,5/26/26
00781,8201,68,SANDOZ,Active,CLADRIBINE 10MG 6TAB US,01,0215547,N,1,N,3/27/26,4/28/26,TAB,1,AB,N,,4/28/26,,,5/26/26
00781,8201,71,SANDOZ,Active,CLADRIBINE 10MG 7TAB US,01,0215547,N,1,N,3/27/26,4/28/26,TAB,1,AB,N,,4/28/26,,,5/26/26
00781,8201,80,SANDOZ,Active,CLADRIBINE 10MG 10TAB US,01,0215547,N,1,N,3/27/26,4/28/26,TAB,1,AB,N,,4/28/26,,,5/26/26
00781,8201,85,SANDOZ,Active,CLADRIBINE 10MG 8TAB US,01,0215547,N,1,N,3/27/26,4/28/26,TAB,1,AB,N,,4/28/26,,,5/26/26
00781,8201,94,SANDOZ,Active,CLADRIBINE 10MG 4TAB US,01,0215547,N,1,N,3/27/26,4/28/26,TAB,1,AB,N,,4/28/26,,,5/26/26
10122,0402,28,"CHIESI USA, INC.",Active,Juxtapid 2mg,03,0203858,S,1,N,12/21/12,4/29/26,CAP,28,NR,N,,4/29/26,,,5/29/26
21922,0042,40,ENCUBE ETHICALS PVT. LTD.,Active,Tretinoin Microsphere 0.06% Gel 50g pump,01,0215609,N,1,N,8/22/23,5/1/26,GM,50,AB,N,,5/1/26,,,5/31/26
23155,0920,01,"HERITAGE PHARMACEUTICALS, INC.",Active,Amlodipine Besylate/Benazepril HCL Caps 2.5/10mg 100s,01,0091431,N,1,N,12/30/13,4/16/26,CAP,1,AB,N,,4/16/26,,,5/28/26
24338,0103,01,AZURITY PHARMACEUTICALS INC.,Active,"ARYNTA (lisdexamfetamine dimesylate) Oral Solution, CII 10mg/mL",03,0219847,S,1,N,6/16/25,4/6/26,ML,30,NR,N,,4/6/26,,,5/26/26
24338,0109,01,AZURITY PHARMACEUTICALS INC.,Active,"ARYNTA (lisdexamfetamine dimesylate) Oral Solution, CII 10mg/mL",03,0219847,S,1,N,6/16/25,4/6/26,ML,90,NR,N,,4/6/26,,,5/26/26
24338,0160,01,AZURITY PHARMACEUTICALS INC.,Active,"ARYNTA (lisdexamfetamine dimesylate) Oral Solution, CII 10mg/mL",03,0219847,S,1,N,6/16/25,4/6/26,ML,60,NR,N,,4/6/26,,,5/26/26
24338,0162,01,AZURITY PHARMACEUTICALS INC.,Active,"ARYNTA (lisdexamfetamine dimesylate) Oral Solution, CII 10mg/mL",03,0219847,S,1,N,6/16/25,4/6/26,ML,120,NR,N,,4/6/26,,,5/26/26
24979,0126,18,"Upsher-Smith Laboratories, LLC.",Active,Cyclosporine Ophthalmic Emulsion 0.05% 60vials/0.4ml,01,0209064,N,1,N,1/21/26,4/24/26,ML,24,AB,N,,4/24/26,,,5/29/26
24979,0126,19,"Upsher-Smith Laboratories, LLC.",Active,Cyclosporine Ophthalmic Emulsion 0.05% 30vials/0.4ml,01,0209064,N,1,N,1/21/26,4/24/26,ML,12,AB,N,,4/24/26,,,5/29/26
27241,0151,01,AJANTA PHARMA LIMITED,Active,Dapagliflozin Tabs 5mg 30ct,01,0211482,N,1,N,4/6/26,4/6/26,TAB,30,AB,N,,4/6/26,,,5/29/26
27241,0152,01,AJANTA PHARMA LIMITED,Active,Dapagliflozin Tabs 10mg 30ct,01,0211482,N,1,N,4/6/26,4/6/26,TAB,30,AB,N,,4/6/26,,,5/29/26
